@relation incendios

@attribute 'mediasR' numeric
@attribute 'mediasG' numeric
@attribute 'mediasB' numeric
@attribute 'desvStdR' numeric
@attribute 'desvStdG' numeric
@attribute 'desvStdB' numeric
@attribute 'entropiasR' numeric
@attribute 'entropiasG' numeric
@attribute 'entropiasB' numeric
@attribute 'modaBN' numeric
@attribute 'rangosContrasteR' numeric
@attribute 'rangosContrasteG' numeric
@attribute 'rangosContrasteB' numeric
@attribute 'pendienteOscuridad' numeric
@attribute 'pendienteBrillo' numeric
@attribute 'brilloLimpia' numeric
@attribute 'coeficientesCorrelacionR' numeric
@attribute 'coeficientesCorrelacionG' numeric
@attribute 'coeficientesCorrelacionB' numeric
@attribute 'factorContraste' numeric
@attribute 'anisotropiasR' numeric
@attribute 'anisotropiasG' numeric
@attribute 'anisotropiasB' numeric


@attribute 'class' {nada,humo,fuego}
@data
15.467,14.412,16.900,0.869,0.545,0.577,1.812,1.147,1.233,0,6,4,6,195.733,12.233,15,1144.000,2064.000,1404.000,0.067,0.113,0.023,0.500,nada
16.618,15.425,17.873,0.672,0.540,0.643,1.471,1.133,1.057,0,6,4,6,221.500,14.828,16,948.000,2056.000,3016.000,0.063,0.369,0.470,0.097,nada
17.155,15.759,18.143,0.707,0.647,0.707,1.488,1.383,1.505,0,4,4,6,138.500,9.272,16,1192.000,1656.000,1044.000,0.030,0.258,0.143,0.306,nada
17.045,16.418,18.292,0.709,0.567,0.878,1.501,1.198,1.581,0,4,4,6,175.529,12.538,17,1088.000,1896.000,696.000,0.030,0.476,0.461,0.336,nada
16.986,16.861,18.798,0.373,0.346,0.535,0.720,0.582,0.720,0,4,2,4,221.647,15.832,17,3256.000,2944.000,1628.000,0.030,0.358,0.358,0.403,nada
16.916,16.853,18.884,0.374,0.354,0.320,0.712,0.602,0.517,0,4,2,2,212.235,15.160,17,3352.000,2880.000,3136.000,0.030,0.348,0.348,0.337,nada
16.567,16.567,18.567,0.496,0.496,0.496,0.987,0.987,0.987,0,2,2,2,136.000,9.714,17,544.000,544.000,544.000,0.030,0.166,0.166,0.166,nada
15.690,15.690,17.690,0.495,0.495,0.495,1.018,1.018,1.018,0,4,4,4,168.000,11.247,16,2624.000,2624.000,2624.000,0.063,0.090,0.090,0.090,nada
14.518,14.557,16.663,0.625,0.635,0.513,1.255,1.183,1.071,0,6,6,6,171.733,10.733,15,789.000,810.000,1288.000,0.071,0.399,0.464,0.460,nada
14.359,13.947,15.969,0.894,0.644,0.769,1.703,1.349,1.634,0,6,6,6,155.429,9.029,14,1728.000,1316.000,960.000,0.071,0.410,0.192,0.176,nada
16.527,14.947,16.573,0.748,0.563,1.001,1.523,1.217,1.926,0,6,4,8,168.000,11.247,16,2144.000,2232.000,586.000,0.063,0.431,0.500,0.294,nada
17.843,15.843,17.141,0.405,0.405,0.683,0.776,0.776,1.245,0,4,4,6,194.824,13.916,17,3248.000,3248.000,1352.000,0.059,0.500,0.500,1.727,nada
17.976,16.118,17.753,0.342,0.322,1.009,0.637,0.523,1.196,0,4,2,6,228.706,16.336,17,3408.000,3120.000,2512.000,0.029,0.494,0.494,0.333,nada
17.657,16.535,17.849,0.622,0.529,1.038,1.319,1.100,1.406,0,4,4,6,216.941,15.496,17,1696.000,1992.000,2160.000,0.029,0.226,0.251,0.035,nada
17.280,17.100,18.822,0.511,0.460,0.841,0.944,0.951,1.387,0,4,4,6,194.353,13.882,17,1468.000,2928.000,2552.000,0.029,0.073,0.073,0.373,nada
17.143,17.143,19.018,0.350,0.350,0.575,0.592,0.592,0.927,0,2,2,6,205.647,14.689,17,2912.000,2912.000,3240.000,0.029,0.362,0.362,0.024,nada
